country,year,sex,age,suicides_no,population,suicidesPer100k,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Albania,1995,male,25-34 years,13.00,232900,5.58,Albania1995,0.619,"2,424,499,009",835,Generation X
Albania,1995,male,55-74 years,9.00,178000,5.06,Albania1995,0.619,"2,424,499,009",835,Silent
Albania,1995,female,75+ years,2.00,40800,4.90,Albania1995,0.619,"2,424,499,009",835,G.I. Generation
Albania,1995,female,15-24 years,13.00,283500,4.59,Albania1995,0.619,"2,424,499,009",835,Generation X
Albania,1995,male,15-24 years,11.00,241200,4.56,Albania1995,0.619,"2,424,499,009",835,Generation X
Albania,1995,male,75+ years,1.00,25100,3.98,Albania1995,0.619,"2,424,499,009",835,G.I. Generation
Albania,1995,male,35-54 years,14.00,375900,3.72,Albania1995,0.619,"2,424,499,009",835,Boomers
Albania,1995,female,25-34 years,7.00,264000,2.65,Albania1995,0.619,"2,424,499,009",835,Generation X
Albania,1995,female,35-54 years,8.00,356400,2.24,Albania1995,0.619,"2,424,499,009",835,Boomers
Albania,1995,male,5-14 years,6.00,376500,1.59,Albania1995,0.619,"2,424,499,009",835,Millenials
Albania,1995,female,55-74 years,2.00,180400,1.11,Albania1995,0.619,"2,424,499,009",835,Silent
Albania,1995,female,5-14 years,2.00,348700,0.57,Albania1995,0.619,"2,424,499,009",835,Millenials
Albania,1996,male,75+ years,2.00,25400,7.87,Albania1996,,"3,314,898,292",1127,G.I. Generation
Albania,1996,male,15-24 years,17.00,243600,6.98,Albania1996,,"3,314,898,292",1127,Generation X
Albania,1996,male,25-34 years,14.00,235300,5.95,Albania1996,,"3,314,898,292",1127,Generation X
Albania,1996,female,15-24 years,16.00,287700,5.56,Albania1996,,"3,314,898,292",1127,Generation X
Albania,1996,female,75+ years,2.00,41200,4.85,Albania1996,,"3,314,898,292",1127,G.I. Generation
Albania,1996,female,25-34 years,10.00,267900,3.73,Albania1996,,"3,314,898,292",1127,Generation X
Albania,1996,male,35-54 years,12.00,379600,3.16,Albania1996,,"3,314,898,292",1127,Boomers
Albania,1996,female,35-54 years,9.00,362000,2.49,Albania1996,,"3,314,898,292",1127,Boomers
Albania,1996,male,55-74 years,3.00,179900,1.67,Albania1996,,"3,314,898,292",1127,Silent
Albania,1996,female,55-74 years,1.00,183100,0.55,Albania1996,,"3,314,898,292",1127,Silent
Albania,1996,male,5-14 years,2.00,380400,0.53,Albania1996,,"3,314,898,292",1127,Millenials
Albania,1996,female,5-14 years,1.00,354100,0.28,Albania1996,,"3,314,898,292",1127,Millenials
Albania,1997,male,25-34 years,36.00,236000,15.25,Albania1997,,"2,359,903,108",793,Generation X
Albania,1997,male,15-24 years,33.00,244400,13.50,Albania1997,,"2,359,903,108",793,Generation X
Albania,1997,male,75+ years,3.00,25400,11.81,Albania1997,,"2,359,903,108",793,G.I. Generation
Albania,1997,male,35-54 years,30.00,380800,7.88,Albania1997,,"2,359,903,108",793,Boomers
Albania,1997,female,15-24 years,21.00,294000,7.14,Albania1997,,"2,359,903,108",793,Generation X
Albania,1997,male,55-74 years,12.00,180300,6.66,Albania1997,,"2,359,903,108",793,Silent
Albania,1997,female,25-34 years,16.00,273900,5.84,Albania1997,,"2,359,903,108",793,Generation X
Albania,1997,female,75+ years,2.00,42100,4.75,Albania1997,,"2,359,903,108",793,G.I. Generation
Albania,1997,female,35-54 years,7.00,370100,1.89,Albania1997,,"2,359,903,108",793,Boomers
Albania,1997,female,5-14 years,6.00,361800,1.66,Albania1997,,"2,359,903,108",793,Millenials
Albania,1997,male,5-14 years,4.00,381500,1.05,Albania1997,,"2,359,903,108",793,Millenials
Albania,1997,female,55-74 years,0.00,187000,0.00,Albania1997,,"2,359,903,108",793,Silent
Albania,1998,male,75+ years,3.00,25800,11.63,Albania1998,,"2,707,123,772",899,G.I. Generation
Albania,1998,male,15-24 years,27.00,248800,10.85,Albania1998,,"2,707,123,772",899,Generation X
Albania,1998,female,15-24 years,32.00,295600,10.83,Albania1998,,"2,707,123,772",899,Generation X
Albania,1998,male,25-34 years,26.00,240400,10.82,Albania1998,,"2,707,123,772",899,Generation X
Albania,1998,male,35-54 years,29.00,388200,7.47,Albania1998,,"2,707,123,772",899,Boomers
Albania,1998,male,55-74 years,9.00,183800,4.90,Albania1998,,"2,707,123,772",899,Silent
Albania,1998,female,25-34 years,10.00,275300,3.63,Albania1998,,"2,707,123,772",899,Generation X
Albania,1998,female,55-74 years,6.00,188200,3.19,Albania1998,,"2,707,123,772",899,Silent
Albania,1998,female,35-54 years,9.00,372100,2.42,Albania1998,,"2,707,123,772",899,Boomers
Albania,1998,male,5-14 years,2.00,388400,0.51,Albania1998,,"2,707,123,772",899,Millenials
Albania,1998,female,5-14 years,1.00,363800,0.27,Albania1998,,"2,707,123,772",899,Millenials
Albania,1998,female,75+ years,0.00,42300,0.00,Albania1998,,"2,707,123,772",899,G.I. Generation
Albania,1999,male,75+ years,3.00,25900,11.58,Albania1999,,"3,414,760,915",1127,G.I. Generation
Albania,1999,male,15-24 years,24.00,250600,9.58,Albania1999,,"3,414,760,915",1127,Generation X
Albania,1999,female,75+ years,4.00,42400,9.43,Albania1999,,"3,414,760,915",1127,G.I. Generation
Albania,1999,male,35-54 years,31.00,391100,7.93,Albania1999,,"3,414,760,915",1127,Boomers
Albania,1999,male,25-34 years,19.00,242300,7.84,Albania1999,,"3,414,760,915",1127,Generation X
Albania,1999,male,55-74 years,14.00,185200,7.56,Albania1999,,"3,414,760,915",1127,Silent
Albania,1999,female,15-24 years,19.00,296800,6.40,Albania1999,,"3,414,760,915",1127,Generation X
Albania,1999,female,25-34 years,13.00,276500,4.70,Albania1999,,"3,414,760,915",1127,Generation X
Albania,1999,female,55-74 years,6.00,188800,3.18,Albania1999,,"3,414,760,915",1127,Silent
Albania,1999,female,35-54 years,5.00,373600,1.34,Albania1999,,"3,414,760,915",1127,Boomers
Albania,1999,female,5-14 years,1.00,365200,0.27,Albania1999,,"3,414,760,915",1127,Millenials
Albania,1999,male,5-14 years,0.00,391300,0.00,Albania1999,,"3,414,760,915",1127,Millenials
Albania,2000,male,25-34 years,17.00,232000,7.33,Albania2000,0.656,"3,632,043,908",1299,Generation X
Albania,2000,male,55-74 years,10.00,177400,5.64,Albania2000,0.656,"3,632,043,908",1299,Silent
Albania,2000,female,75+ years,2.00,37800,5.29,Albania2000,0.656,"3,632,043,908",1299,G.I. Generation
Albania,2000,male,75+ years,1.00,24900,4.02,Albania2000,0.656,"3,632,043,908",1299,G.I. Generation
Albania,2000,female,15-24 years,6.00,263900,2.27,Albania2000,0.656,"3,632,043,908",1299,Generation X
Albania,2000,male,15-24 years,5.00,240000,2.08,Albania2000,0.656,"3,632,043,908",1299,Generation X
Albania,2000,female,35-54 years,5.00,332200,1.51,Albania2000,0.656,"3,632,043,908",1299,Boomers
Albania,2000,female,25-34 years,3.00,245800,1.22,Albania2000,0.656,"3,632,043,908",1299,Generation X
Albania,2000,male,35-54 years,4.00,374700,1.07,Albania2000,0.656,"3,632,043,908",1299,Boomers
Albania,2000,male,5-14 years,1.00,374900,0.27,Albania2000,0.656,"3,632,043,908",1299,Millenials
Albania,2000,female,5-14 years,0.00,324700,0.00,Albania2000,0.656,"3,632,043,908",1299,Millenials
Albania,2000,female,55-74 years,0.00,168000,0.00,Albania2000,0.656,"3,632,043,908",1299,Silent
Albania,2001,male,25-34 years,22.00,206484,10.65,Albania2001,,"4,060,758,804",1451,Generation X
Albania,2001,male,35-54 years,34.00,378826,8.98,Albania2001,,"4,060,758,804",1451,Boomers
Albania,2001,male,55-74 years,11.00,196670,5.59,Albania2001,,"4,060,758,804",1451,Silent
Albania,2001,female,75+ years,2.00,47254,4.23,Albania2001,,"4,060,758,804",1451,Silent
Albania,2001,male,15-24 years,10.00,256039,3.91,Albania2001,,"4,060,758,804",1451,Millenials
Albania,2001,female,15-24 years,9.00,271359,3.32,Albania2001,,"4,060,758,804",1451,Millenials
Albania,2001,female,35-54 years,12.00,370191,3.24,Albania2001,,"4,060,758,804",1451,Boomers
Albania,2001,male,75+ years,1.00,31044,3.22,Albania2001,,"4,060,758,804",1451,Silent
Albania,2001,female,55-74 years,6.00,189799,3.16,Albania2001,,"4,060,758,804",1451,Silent
Albania,2001,male,5-14 years,6.00,321556,1.87,Albania2001,,"4,060,758,804",1451,Millenials
Albania,2001,female,25-34 years,4.00,222771,1.80,Albania2001,,"4,060,758,804",1451,Generation X
Albania,2001,female,5-14 years,2.00,307356,0.65,Albania2001,,"4,060,758,804",1451,Millenials
Albania,2002,male,75+ years,4.00,31007,12.90,Albania2002,,"4,435,078,648",1573,Silent
Albania,2002,male,25-34 years,23.00,206286,11.15,Albania2002,,"4,435,078,648",1573,Generation X
Albania,2002,male,35-54 years,35.00,382139,9.16,Albania2002,,"4,435,078,648",1573,Boomers
Albania,2002,male,55-74 years,13.00,198130,6.56,Albania2002,,"4,435,078,648",1573,Silent
Albania,2002,male,15-24 years,15.00,263067,5.70,Albania2002,,"4,435,078,648",1573,Millenials
Albania,2002,female,15-24 years,14.00,275970,5.07,Albania2002,,"4,435,078,648",1573,Millenials
Albania,2002,female,35-54 years,15.00,375113,4.00,Albania2002,,"4,435,078,648",1573,Boomers
Albania,2002,female,25-34 years,7.00,223685,3.13,Albania2002,,"4,435,078,648",1573,Generation X
Albania,2002,female,75+ years,1.00,47407,2.11,Albania2002,,"4,435,078,648",1573,Silent
Albania,2002,female,55-74 years,4.00,191712,2.09,Albania2002,,"4,435,078,648",1573,Silent
Albania,2002,female,5-14 years,1.00,304850,0.33,Albania2002,,"4,435,078,648",1573,Millenials
Albania,2002,male,5-14 years,1.00,319473,0.31,Albania2002,,"4,435,078,648",1573,Millenials
Albania,2003,female,75+ years,6.00,49088,12.22,Albania2003,,"5,746,945,913",2021,Silent
Albania,2003,male,55-74 years,16.00,201520,7.94,Albania2003,,"5,746,945,913",2021,Silent
Albania,2003,male,35-54 years,28.00,386196,7.25,Albania2003,,"5,746,945,913",2021,Boomers
Albania,2003,male,15-24 years,15.00,273235,5.49,Albania2003,,"5,746,945,913",2021,Millenials
Albania,2003,female,15-24 years,14.00,283709,4.93,Albania2003,,"5,746,945,913",2021,Millenials
Albania,2003,female,55-74 years,9.00,195699,4.60,Albania2003,,"5,746,945,913",2021,Silent
Albania,2003,male,25-34 years,9.00,205433,4.38,Albania2003,,"5,746,945,913",2021,Generation X
Albania,2003,female,25-34 years,9.00,222941,4.04,Albania2003,,"5,746,945,913",2021,Generation X
Albania,2003,female,35-54 years,13.00,381760,3.41,Albania2003,,"5,746,945,913",2021,Boomers
Albania,2003,male,75+ years,1.00,32667,3.06,Albania2003,,"5,746,945,913",2021,Silent
Albania,2003,male,5-14 years,4.00,313204,1.28,Albania2003,,"5,746,945,913",2021,Millenials
Albania,2003,female,5-14 years,0.00,298477,0.00,Albania2003,,"5,746,945,913",2021,Millenials
Albania,2004,male,75+ years,4.00,35526,11.26,Albania2004,,"7,314,865,176",2544,Silent
Albania,2004,male,35-54 years,39.00,391767,9.95,Albania2004,,"7,314,865,176",2544,Boomers
Albania,2004,male,25-34 years,16.00,203938,7.85,Albania2004,,"7,314,865,176",2544,Generation X
Albania,2004,female,15-24 years,20.00,292268,6.84,Albania2004,,"7,314,865,176",2544,Millenials
Albania,2004,male,15-24 years,19.00,286768,6.63,Albania2004,,"7,314,865,176",2544,Millenials
Albania,2004,female,75+ years,3.00,50970,5.89,Albania2004,,"7,314,865,176",2544,Silent
Albania,2004,female,25-34 years,11.00,222389,4.95,Albania2004,,"7,314,865,176",2544,Generation X
Albania,2004,male,55-74 years,10.00,207202,4.83,Albania2004,,"7,314,865,176",2544,Silent
Albania,2004,female,35-54 years,17.00,391436,4.34,Albania2004,,"7,314,865,176",2544,Boomers
Albania,2004,female,55-74 years,3.00,203841,1.47,Albania2004,,"7,314,865,176",2544,Silent
Albania,2004,female,5-14 years,3.00,286705,1.05,Albania2004,,"7,314,865,176",2544,Millenials
Albania,2004,male,5-14 years,1.00,302181,0.33,Albania2004,,"7,314,865,176",2544,Millenials
Albania,2005,female,15-24 years,0.00,281922,0.00,Albania2005,0.695,"8,158,548,717",2931,Millenials
Albania,2005,female,25-34 years,0.00,190745,0.00,Albania2005,0.695,"8,158,548,717",2931,Generation X
Albania,2005,female,35-54 years,0.00,386513,0.00,Albania2005,0.695,"8,158,548,717",2931,Boomers
Albania,2005,female,5-14 years,0.00,276559,0.00,Albania2005,0.695,"8,158,548,717",2931,Millenials
Albania,2005,female,55-74 years,0.00,210998,0.00,Albania2005,0.695,"8,158,548,717",2931,Silent
Albania,2005,female,75+ years,0.00,53191,0.00,Albania2005,0.695,"8,158,548,717",2931,Silent
Albania,2005,male,15-24 years,0.00,281675,0.00,Albania2005,0.695,"8,158,548,717",2931,Millenials
Albania,2005,male,25-34 years,0.00,177519,0.00,Albania2005,0.695,"8,158,548,717",2931,Generation X
Albania,2005,male,35-54 years,0.00,380242,0.00,Albania2005,0.695,"8,158,548,717",2931,Boomers
Albania,2005,male,5-14 years,0.00,291367,0.00,Albania2005,0.695,"8,158,548,717",2931,Millenials
Albania,2005,male,55-74 years,0.00,214118,0.00,Albania2005,0.695,"8,158,548,717",2931,Silent
Albania,2005,male,75+ years,0.00,38471,0.00,Albania2005,0.695,"8,158,548,717",2931,Silent
Albania,2006,female,15-24 years,0.00,283138,0.00,Albania2006,,"8,992,642,349",3235,Millenials
Albania,2006,female,25-34 years,0.00,186391,0.00,Albania2006,,"8,992,642,349",3235,Generation X
Albania,2006,female,35-54 years,0.00,388746,0.00,Albania2006,,"8,992,642,349",3235,Boomers
Albania,2006,female,5-14 years,0.00,267316,0.00,Albania2006,,"8,992,642,349",3235,Millenials
Albania,2006,female,55-74 years,0.00,215907,0.00,Albania2006,,"8,992,642,349",3235,Silent
Albania,2006,female,75+ years,0.00,56011,0.00,Albania2006,,"8,992,642,349",3235,Silent
Albania,2006,male,15-24 years,0.00,286679,0.00,Albania2006,,"8,992,642,349",3235,Millenials
Albania,2006,male,25-34 years,0.00,174092,0.00,Albania2006,,"8,992,642,349",3235,Generation X
Albania,2006,male,35-54 years,0.00,379076,0.00,Albania2006,,"8,992,642,349",3235,Boomers
Albania,2006,male,5-14 years,0.00,282678,0.00,Albania2006,,"8,992,642,349",3235,Millenials
Albania,2006,male,55-74 years,0.00,219360,0.00,Albania2006,,"8,992,642,349",3235,Silent
Albania,2006,male,75+ years,0.00,40782,0.00,Albania2006,,"8,992,642,349",3235,Silent
Albania,2007,male,75+ years,8.00,42366,18.88,Albania2007,,"10,701,011,897",3863,Silent
Albania,2007,male,35-54 years,29.00,378626,7.66,Albania2007,,"10,701,011,897",3863,Boomers
Albania,2007,male,55-74 years,14.00,224160,6.25,Albania2007,,"10,701,011,897",3863,Silent
Albania,2007,female,75+ years,3.00,57404,5.23,Albania2007,,"10,701,011,897",3863,Silent
Albania,2007,male,25-34 years,9.00,172494,5.22,Albania2007,,"10,701,011,897",3863,Generation X
Albania,2007,female,15-24 years,13.00,281080,4.63,Albania2007,,"10,701,011,897",3863,Millenials
Albania,2007,male,15-24 years,13.00,288349,4.51,Albania2007,,"10,701,011,897",3863,Millenials
Albania,2007,female,25-34 years,8.00,183629,4.36,Albania2007,,"10,701,011,897",3863,Generation X
Albania,2007,female,55-74 years,9.00,221120,4.07,Albania2007,,"10,701,011,897",3863,Silent
Albania,2007,female,35-54 years,14.00,391811,3.57,Albania2007,,"10,701,011,897",3863,Boomers
Albania,2007,male,5-14 years,4.00,272497,1.47,Albania2007,,"10,701,011,897",3863,Generation Z
Albania,2007,female,5-14 years,0.00,256808,0.00,Albania2007,,"10,701,011,897",3863,Generation Z
Albania,2008,male,25-34 years,21.00,172855,12.15,Albania2008,,"12,881,352,688",4672,Generation X
Albania,2008,male,35-54 years,37.00,377119,9.81,Albania2008,,"12,881,352,688",4672,Boomers
Albania,2008,male,55-74 years,21.00,228672,9.18,Albania2008,,"12,881,352,688",4672,Silent
Albania,2008,female,75+ years,5.00,59369,8.42,Albania2008,,"12,881,352,688",4672,Silent
Albania,2008,female,15-24 years,20.00,276073,7.24,Albania2008,,"12,881,352,688",4672,Millenials
Albania,2008,female,25-34 years,9.00,182663,4.93,Albania2008,,"12,881,352,688",4672,Generation X
Albania,2008,female,35-54 years,19.00,393832,4.82,Albania2008,,"12,881,352,688",4672,Boomers
Albania,2008,male,75+ years,2.00,44574,4.49,Albania2008,,"12,881,352,688",4672,Silent
Albania,2008,male,15-24 years,11.00,286702,3.84,Albania2008,,"12,881,352,688",4672,Millenials
Albania,2008,female,55-74 years,7.00,226448,3.09,Albania2008,,"12,881,352,688",4672,Silent
Albania,2008,male,5-14 years,7.00,262464,2.67,Albania2008,,"12,881,352,688",4672,Generation Z
Albania,2008,female,5-14 years,1.00,246288,0.41,Albania2008,,"12,881,352,688",4672,Generation Z
Albania,2009,female,15-24 years,0.00,270003,0.00,Albania2009,,"12,044,212,904",4387,Millenials
Albania,2009,female,25-34 years,0.00,182712,0.00,Albania2009,,"12,044,212,904",4387,Generation X
Albania,2009,female,35-54 years,0.00,394286,0.00,Albania2009,,"12,044,212,904",4387,Boomers
Albania,2009,female,5-14 years,0.00,236174,0.00,Albania2009,,"12,044,212,904",4387,Generation Z
Albania,2009,female,55-74 years,0.00,233302,0.00,Albania2009,,"12,044,212,904",4387,Silent
Albania,2009,female,75+ years,0.00,61582,0.00,Albania2009,,"12,044,212,904",4387,Silent
Albania,2009,male,15-24 years,0.00,283448,0.00,Albania2009,,"12,044,212,904",4387,Millenials
Albania,2009,male,25-34 years,0.00,174955,0.00,Albania2009,,"12,044,212,904",4387,Generation X
Albania,2009,male,35-54 years,0.00,374365,0.00,Albania2009,,"12,044,212,904",4387,Boomers
Albania,2009,male,5-14 years,0.00,253007,0.00,Albania2009,,"12,044,212,904",4387,Generation Z
Albania,2009,male,55-74 years,0.00,234570,0.00,Albania2009,,"12,044,212,904",4387,Silent
Albania,2009,male,75+ years,0.00,47331,0.00,Albania2009,,"12,044,212,904",4387,Silent
Albania,2010,male,55-74 years,20.00,241852,8.27,Albania2010,0.722,"11,926,953,259",4359,Silent
Albania,2010,male,35-54 years,20.00,371611,5.38,Albania2010,0.722,"11,926,953,259",4359,Generation X
Albania,2010,male,25-34 years,9.00,179720,5.01,Albania2010,0.722,"11,926,953,259",4359,Generation X
Albania,2010,male,75+ years,2.00,50767,3.94,Albania2010,0.722,"11,926,953,259",4359,Silent
Albania,2010,male,15-24 years,10.00,279508,3.58,Albania2010,0.722,"11,926,953,259",4359,Millenials
Albania,2010,female,25-34 years,6.00,183579,3.27,Albania2010,0.722,"11,926,953,259",4359,Generation X
Albania,2010,female,75+ years,2.00,64415,3.10,Albania2010,0.722,"11,926,953,259",4359,Silent
Albania,2010,female,35-54 years,12.00,394593,3.04,Albania2010,0.722,"11,926,953,259",4359,Generation X
Albania,2010,female,55-74 years,7.00,241491,2.90,Albania2010,0.722,"11,926,953,259",4359,Silent
Albania,2010,female,15-24 years,6.00,263581,2.28,Albania2010,0.722,"11,926,953,259",4359,Millenials
Albania,2010,female,5-14 years,2.00,223969,0.89,Albania2010,0.722,"11,926,953,259",4359,Generation Z
Albania,2010,male,5-14 years,0.00,240939,0.00,Albania2010,0.722,"11,926,953,259",4359,Generation Z
Antigua and Barbuda,1985,female,15-24 years,0.00,7709,0.00,Antigua and Barbuda1985,,"240,923,926",3850,Generation X
Antigua and Barbuda,1985,female,25-34 years,0.00,6344,0.00,Antigua and Barbuda1985,,"240,923,926",3850,Boomers
Antigua and Barbuda,1985,female,35-54 years,0.00,6173,0.00,Antigua and Barbuda1985,,"240,923,926",3850,Silent
Antigua and Barbuda,1985,female,5-14 years,0.00,7339,0.00,Antigua and Barbuda1985,,"240,923,926",3850,Generation X
Antigua and Barbuda,1985,female,55-74 years,0.00,3778,0.00,Antigua and Barbuda1985,,"240,923,926",3850,G.I. Generation
Antigua and Barbuda,1985,female,75+ years,0.00,949,0.00,Antigua and Barbuda1985,,"240,923,926",3850,G.I. Generation
Antigua and Barbuda,1985,male,15-24 years,0.00,7667,0.00,Antigua and Barbuda1985,,"240,923,926",3850,Generation X
Antigua and Barbuda,1985,male,25-34 years,0.00,6194,0.00,Antigua and Barbuda1985,,"240,923,926",3850,Boomers
Antigua and Barbuda,1985,male,35-54 years,0.00,5970,0.00,Antigua and Barbuda1985,,"240,923,926",3850,Silent
Antigua and Barbuda,1985,male,5-14 years,0.00,7304,0.00,Antigua and Barbuda1985,,"240,923,926",3850,Generation X
